4673, 1
5121, 1
5461, 11
6026, 1
7977, 1
11071, 1
15409, 1
16237, 1
18001, 1
18806, 1
19255, 1
19622, 1
20117, 1
27740, 1
29323, 1
36660, 1
40784, 1
43462, 1
44699, 1
50335, 1
53097, 1
87383, 1
89590, 1
95449, 1
95854, 1
100107, 1
100426, 1
100728, 1
100740, 1
101096, 1
105077, 8
105331, 1
107982, 7
110079, 1
134354, 10
134400, 1
141270, 7
141280, 1
144086, 1
144336, 2
144409, 12
144421, 1
144439, 1
152628, 1
157792, 1
170082, 1
171211, 1
175376, 1
177201, 3
177436, 1
189858, 1
189907, 1
190836, 1
191856, 1
205184, 1
209111, 1
211518, 1
216263, 1
221200, 2
231711, 1
232800, 3
243646, 1
252027, 1
263006, 1
278533, 1
281648, 1
286186, 1
286276, 1
293464, 1
299051, 1
302093, 3
302418, 1
302558, 1
308677, 1
311701, 1
312105, 1
316363, 2
319492, 4
324892, 1
329855, 1
335885, 1
336783, 1
338661, 1
341011, 1
342190, 1
344924, 1
349426, 1
350106, 1
350773, 1
364127, 1
364383, 1
372670, 1
380493, 3
381270, 1
385117, 1
392232, 1
394711, 1
395421, 1
404204, 16
404205, 1
404436, 1
405316, 1
413582, 1
414282, 1
419738, 1
419894, 1
422524, 6
422637, 1
426600, 1
426616, 1
438879, 1
442104, 2
444096, 1
476600, 1
483583, 1
503537, 1
505628, 1
506665, 1
510565, 1
520725, 1
521088, 1
523993, 1
527398, 2
539785, 1
540832, 1
545257, 1
548713, 1
548922, 1
553499, 1
558284, 1
569596, 1
571351, 21
578380, 1
584197, 1
585605, 1
591197, 1
591537, 1
594648, 1
611242, 1
617502, 1
633420, 1
643070, 2
645229, 1
