32,500, 0.913535, 0.012413, 5.81141, 0.434021, 7.28744, 
32,500, 0.909967, 0.012097, 5.79526, 0.394598, 7.24205, 
32,500, 0.911379, 0.012854, 5.78468, 0.504546, 7.35626, 
32,500, 0.926575, 0.011975, 5.78688, 0.411103, 7.26156, 
32,500, 0.912964, 0.012473, 5.76558, 0.393288, 7.19856, 
32,500, 0.913811, 0.012733, 5.78008, 0.421283, 7.19054, 
32,1000, 0.909995, 0.011916, 5.85524, 0.492571, 7.27462, 
32,1000, 0.913122, 0.012377, 5.82844, 0.445913, 7.25784, 
32,1000, 0.913303, 0.011905, 5.80847, 0.480422, 7.26179, 
32,1000, 0.946896, 0.013317, 5.84895, 0.419593, 7.21605, 
32,2000, 0.92465, 0.013295, 6.02918, 0.389717, 7.36491, 
32,2000, 0.91144, 0.01192, 6.07029, 0.402681, 7.42458, 
32,2000, 0.908487, 0.011918, 6.07407, 0.544438, 7.5888, 
32,2000, 0.909716, 0.011931, 6.0474, 0.426126, 7.44332, 
32,4000, 0.967417, 0.012535, 6.49361, 0.517441, 8.10682, 
32,4000, 0.912731, 0.01195, 6.53958, 0.481068, 8.10825, 
32,4000, 0.909191, 0.01274, 6.55221, 0.567633, 8.1724, 
32,4000, 0.908935, 0.012777, 6.52285, 0.481998, 8.08111, 
32,8000, 0.915352, 0.01262, 7.73602, 0.523539, 9.39153, 
32,8000, 0.911872, 0.01266, 7.60574, 0.490668, 9.30527, 
32,8000, 0.910231, 0.011828, 7.70938, 0.491361, 9.42485, 
32,8000, 0.914023, 0.012505, 7.66778, 0.468611, 9.29784, 
32,16000, 0.909973, 0.012912, 10.1954, 0.800769, 12.3042, 
32,16000, 0.910481, 0.011981, 10.1082, 0.957188, 12.6044, 
32,16000, 0.912278, 0.011812, 10.0969, 0.83337, 12.4226, 
32,16000, 0.909276, 0.012427, 9.99253, 0.769183, 12.2865, 
16,500, 0.913203, 0.005834, 10.2895, 0.325757, 12.1942, 
16,500, 0.909344, 0.005808, 10.3234, 0.586625, 12.5107, 
16,500, 0.914509, 0.006096, 10.2878, 0.399491, 12.2523, 
16,500, 0.912131, 0.005797, 10.3132, 0.566618, 12.4611, 
16,1000, 0.911647, 0.005885, 10.3533, 0.508657, 13.1759, 
16,1000, 0.91224, 0.005817, 10.3745, 0.524499, 12.4858, 
16,1000, 0.907664, 0.006194, 10.2753, 0.457866, 12.8826, 
16,1000, 0.913699, 0.005845, 10.3599, 0.394873, 12.411, 
16,2000, 0.908656, 0.006112, 10.4982, 0.505686, 12.6081, 
16,2000, 0.907612, 0.005691, 10.485, 0.423786, 13.1192, 
16,2000, 0.912743, 0.005897, 10.537, 0.411862, 12.511, 
16,2000, 0.910428, 0.005845, 10.478, 0.544696, 12.641, 
16,4000, 0.937344, 0.006337, 11.0622, 0.545327, 13.4664, 
16,4000, 0.963857, 0.006155, 11.0853, 0.483823, 13.4987, 
16,4000, 0.967401, 0.006335, 11.0945, 0.511263, 13.2871, 
16,4000, 0.914346, 0.006038, 11.0482, 0.491917, 13.7142, 
16,8000, 0.914036, 0.006146, 11.1459, 0.667323, 13.5397, 
16,8000, 0.912995, 0.006108, 11.1915, 0.456195, 13.316, 
16,8000, 0.91219, 0.006141, 11.1949, 0.594278, 14.2547, 
